Apparel & Accessories_hashtag,Apparel & Accessories_rank_today,Apparel & Accessories_rank_prev_state,Apparel & Accessories_rank_delta,Appliances_hashtag,Appliances_rank_today,Appliances_rank_prev_state,Appliances_rank_delta,Apps_hashtag,Apps_rank_today,Apps_rank_prev_state,Apps_rank_delta,"Baby, Kids & Maternity_hashtag","Baby, Kids & Maternity_rank_today","Baby, Kids & Maternity_rank_prev_state","Baby, Kids & Maternity_rank_delta",Beauty & Personal Care_hashtag,Beauty & Personal Care_rank_today,Beauty & Personal Care_rank_prev_state,Beauty & Personal Care_rank_delta,Business Services_hashtag,Business Services_rank_today,Business Services_rank_prev_state,Business Services_rank_delta,E-Commerce (Non-app)_hashtag,E-Commerce (Non-app)_rank_today,E-Commerce (Non-app)_rank_prev_state,E-Commerce (Non-app)_rank_delta,Education_hashtag,Education_rank_today,Education_rank_prev_state,Education_rank_delta,Financial Services_hashtag,Financial Services_rank_today,Financial Services_rank_prev_state,Financial Services_rank_delta,Food & Beverage_hashtag,Food & Beverage_rank_today,Food & Beverage_rank_prev_state,Food & Beverage_rank_delta,Games_hashtag,Games_rank_today,Games_rank_prev_state,Games_rank_delta,Health_hashtag,Health_rank_today,Health_rank_prev_state,Health_rank_delta,Home Improvement_hashtag,Home Improvement_rank_today,Home Improvement_rank_prev_state,Home Improvement_rank_delta
loafers,212,150,-62,,,,,made easy,73,57,-16,,,,,whitening strips,275,236,-39,,,,,,,,,,,,,,,,,,,,,block blast,256,242,-14,,,,,,,,
80% off,284,209,-75,,,,,get the app,129,112,-17,,,,,your cart,290,251,-39,,,,,,,,,,,,,,,,,,,,,prove it,70,55,-15,,,,,,,,
joggers,349,274,-75,,,,,get paid to play games,391,374,-17,,,,,her fantasy box,334,295,-39,,,,,,,,,,,,,,,,,,,,,level 7,77,62,-15,,,,,,,,
2-piece set,417,336,-81,,,,,real time tracking,126,108,-18,,,,,blush,244,202,-42,,,,,,,,,,,,,,,,,,,,,"fun game, easy play",258,243,-15,,,,,,,,
feel good,208,124,-84,,,,,watch the rest,493,475,-18,,,,,cosrx,280,238,-42,,,,,,,,,,,,,,,,,,,,,for 30,280,265,-15,,,,,,,,
giftsforhim,441,355,-86,,,,,you play,187,168,-19,,,,,extensions,174,128,-46,,,,,,,,,,,,,,,,,,,,,upgrade your weapon,282,267,-15,,,,,,,,
baggypants,235,144,-91,,,,,women,134,114,-20,,,,,up to 55% off,146,99,-47,,,,,,,,,,,,,,,,,,,,,challenge higher scores,300,285,-15,,,,,,,,
vintage,197,96,-101,,,,,get 25%,375,355,-20,,,,,soap,157,109,-48,,,,,,,,,,,,,,,,,,,,,casual games,91,74,-17,,,,,,,,
50 pieces,392,291,-101,,,,,game is so much fun,145,124,-21,,,,,seasaltspray,199,151,-48,,,,,,,,,,,,,,,,,,,,,find out,154,137,-17,,,,,,,,
turn heads,433,329,-104,,,,,find out who called,397,376,-21,,,,,girls,203,155,-48,,,,,,,,,,,,,,,,,,,,,clear tiles unlock bigger wins,162,145,-17,,,,,,,,
up to 60%off,364,256,-108,,,,,one tap,111,89,-22,,,,,colognes,209,161,-48,,,,,,,,,,,,,,,,,,,,,simulation games,285,268,-17,,,,,,,,
shoulderbag,398,266,-132,,,,,your loved ones,179,157,-22,,,,,hairoil,210,162,-48,,,,,,,,,,,,,,,,,,,,,log in now,340,323,-17,,,,,,,,
boots,4,,,,,,,for playing,399,377,-22,,,,,perfume mist,253,205,-48,,,,,,,,,,,,,,,,,,,,,keep your brain young,449,431,-18,,,,,,,,
cargopants,238,,,,,,,see this,194,171,-23,,,,,pads,436,384,-52,,,,,,,,,,,,,,,,,,,,,don't miss out,148,129,-19,,,,,,,,
get 2 free,373,,,,,,,save big,206,183,-23,,,,,sale ends tonight,416,363,-53,,,,,,,,,,,,,,,,,,,,,new game,291,272,-19,,,,,,,,
barefoot shoes,375,,,,,,,join us,406,382,-24,,,,,smells so good,226,172,-54,,,,,,,,,,,,,,,,,,,,,earn rewards,293,274,-19,,,,,,,,
compression shirt,381,,,,,,,make beats on the go,257,232,-25,,,,,try them,371,312,-59,,,,,,,,,,,,,,,,,,,,,simulation,214,194,-20,,,,,,,,
kingdom essential hoodie,382,,,,,,,sign up now,114,88,-26,,,,,100% human hair,250,189,-61,,,,,,,,,,,,,,,,,,,,,adventure,222,202,-20,,,,,,,,
lacebra,383,,,,,,,check out,216,190,-26,,,,,whiteteeth,356,293,-63,,,,,,,,,,,,,,,,,,,,,conquer or be conquered,248,228,-20,,,,,,,,
every girl,387,,,,,,,christmas,432,405,-27,,,,,skincareproducts,376,313,-63,,,,,,,,,,,,,,,,,,,,,heads up,194,172,-22,,,,,,,,
caps,395,,,,,,,click to continue watching,182,154,-28,,,,,summerfridays #summerfridayslipbalm,456,389,-67,,,,,,,,,,,,,,,,,,,,,keep playing,195,173,-22,,,,,,,,
outerwear,396,,,,,,,transform your photos,144,115,-29,,,,,syntheticwig,311,241,-70,,,,,,,,,,,,,,,,,,,,,get your,234,212,-22,,,,,,,,
crossbody bag,397,,,,,,,best dog training app,297,268,-29,,,,,lash serum,392,322,-70,,,,,,,,,,,,,,,,,,,,,more fun,251,229,-22,,,,,,,,
50%off only today,401,,,,,,,dog training app,298,269,-29,,,,,get perfect eyebrows effortlessly,404,333,-71,,,,,,,,,,,,,,,,,,,,,got lucky on level 1,205,182,-23,,,,,,,,
clear vision,402,,,,,,,you try it,128,98,-30,,,,,hair serum,395,323,-72,,,,,,,,,,,,,,,,,,,,,fun and relaxing,254,231,-23,,,,,,,,
special edition cap collection,403,,,,,,,new video call,130,100,-30,,,,,time offer,411,335,-76,,,,,,,,,,,,,,,,,,,,,free gift code: deerhunter,198,174,-24,,,,,,,,
best looking colored contact,407,,,,,,,click to watch,116,85,-31,,,,,tattoo,171,92,-79,,,,,,,,,,,,,,,,,,,,,gift code: deerhunter,199,175,-24,,,,,,,,
miss this,408,,,,,,,live chat,83,51,-32,,,,,brown,224,145,-79,,,,,,,,,,,,,,,,,,,,,shot now,467,443,-24,,,,,,,,
your winter,410,,,,,,,1 free,439,407,-32,,,,,curly hair,225,146,-79,,,,,,,,,,,,,,,,,,,,,win big,179,154,-25,,,,,,,,
free gift,411,,,,,,,casual,82,49,-33,,,,,summerfridays,234,152,-82,,,,,,,,,,,,,,,,,,,,,please help,211,186,-25,,,,,,,,
wearing it,412,,,,,,,try it out,326,293,-33,,,,,pimple,237,144,-93,,,,,,,,,,,,,,,,,,,,,sweeping away the boredom,469,444,-25,,,,,,,,
your door,414,,,,,,,1 free live video chat,349,315,-34,,,,,christmas sale,378,285,-93,,,,,,,,,,,,,,,,,,,,,this game is too difficult,492,467,-25,,,,,,,,
daily use,415,,,,,,,get 50%,442,408,-34,,,,,eyeshadow,270,173,-97,,,,,,,,,,,,,,,,,,,,,give it a shot now,463,437,-26,,,,,,,,
2 free,416,,,,,,,cash out,333,298,-35,,,,,check your coupons,388,289,-99,,,,,,,,,,,,,,,,,,,,,join the epic battle,490,464,-26,,,,,,,,
skullcap,418,,,,,,,bad haircut insurance,334,299,-35,,,,,free gift,408,308,-100,,,,,,,,,,,,,,,,,,,,,play free,118,91,-27,,,,,,,,
baggy sweatpants,420,,,,,,,endless fun,449,414,-35,,,,,girlies,362,245,-117,,,,,,,,,,,,,,,,,,,,,new players,318,291,-27,,,,,,,,
fda-approved,422,,,,,,,self-care,465,430,-35,,,,,mini,347,215,-132,,,,,,,,,,,,,,,,,,,,,neurologist-recommended,465,438,-27,,,,,,,,
skinnyjean,423,,,,,,,create your own dance video,191,155,-36,,,,,only $69,399,259,-140,,,,,,,,,,,,,,,,,,,,,start playing now,185,157,-28,,,,,,,,
built in bra,424,,,,,,,clean your phone,323,287,-36,,,,,try it today,417,250,-167,,,,,,,,,,,,,,,,,,,,,choose your,373,345,-28,,,,,,,,
brighten your eyes,425,,,,,,,take the test,376,340,-36,,,,,crazy sale,425,253,-172,,,,,,,,,,,,,,,,,,,,,relaxing game,169,140,-29,,,,,,,,
this summer,426,,,,,,,watching more series,485,446,-39,,,,,pimple patches,432,254,-178,,,,,,,,,,,,,,,,,,,,,td game,335,305,-30,,,,,,,,
know what,427,,,,,,,continue watching more series,482,441,-41,,,,,65% off,90,,,,,,,,,,,,,,,,,,,,,,,beat level 2,115,84,-31,,,,,,,,
for winter,428,,,,,,,this amazing app,189,145,-44,,,,,help you,136,,,,,,,,,,,,,,,,,,,,,,,"6,000,000 welcome free coins",343,312,-31,,,,,,,,
find your perfect,429,,,,,,,edit videos,181,136,-45,,,,,magneticlashe,254,,,,,,,,,,,,,,,,,,,,,,,have a try,448,417,-31,,,,,,,,
perfect gift,430,,,,,,,free video call,418,371,-47,,,,,get 35% off,304,,,,,,,,,,,,,,,,,,,,,,,cash now,275,241,-34,,,,,,,,
for the holidays,431,,,,,,,tattoo,416,368,-48,,,,,grab your,343,,,,,,,,,,,,,,,,,,,,,,,can you feed the hole,455,421,-34,,,,,,,,
selling out,432,,,,,,,s harder than you think,249,200,-49,,,,,my friend,384,,,,,,,,,,,,,,,,,,,,,,,phiên bản mới,433,398,-35,,,,,,,,
this deal,437,,,,,,,for women,276,227,-49,,,,,hair product,391,,,,,,,,,,,,,,,,,,,,,,,relax and play,361,325,-36,,,,,,,,
2-piece,439,,,,,,,get it now,261,211,-50,,,,,selling out,409,,,,,,,,,,,,,,,,,,,,,,,game now for free,390,354,-36,,,,,,,,
baggy jeans,442,,,,,,,see what,201,150,-51,,,,,you try,415,,,,,,,,,,,,,,,,,,,,,,,can you solve this level,431,395,-36,,,,,,,,
,,,,,,,,100% online,281,230,-51,,,,,like magic,419,,,,,,,,,,,,,,,,,,,,,,,30 minutes a day,286,247,-39,,,,,,,,
,,,,,,,,create your viral dance video,396,345,-51,,,,,full size,422,,,,,,,,,,,,,,,,,,,,,,,build your defense,304,263,-41,,,,,,,,
,,,,,,,,amazing app,239,187,-52,,,,,it a try,427,,,,,,,,,,,,,,,,,,,,,,,play it,333,290,-43,,,,,,,,
,,,,,,,,don’t miss out,235,181,-54,,,,,leather,428,,,,,,,,,,,,,,,,,,,,,,,rescue survivors,175,131,-44,,,,,,,,
,,,,,,,,live video chat,152,96,-56,,,,,headband,435,,,,,,,,,,,,,,,,,,,,,,,play right now,244,200,-44,,,,,,,,
,,,,,,,,this amazing,229,172,-57,,,,,gut health,439,,,,,,,,,,,,,,,,,,,,,,,play,249,205,-44,,,,,,,,
,,,,,,,,get your dream,314,254,-60,,,,,hair growth journey,440,,,,,,,,,,,,,,,,,,,,,,,"10,000,000 free virtual coins",313,269,-44,,,,,,,,
,,,,,,,,training app,448,388,-60,,,,,money-back guarantee,442,,,,,,,,,,,,,,,,,,,,,,,solve puzzles,322,277,-45,,,,,,,,
,,,,,,,,take 50% off,197,133,-64,,,,,try them all,443,,,,,,,,,,,,,,,,,,,,,,,many levels can you beat,344,298,-46,,,,,,,,
,,,,,,,,dive into game features now,272,208,-64,,,,,hd lace,444,,,,,,,,,,,,,,,,,,,,,,,download and play for free,360,309,-51,,,,,,,,
,,,,,,,,get paid to play,484,419,-65,,,,,lash map,445,,,,,,,,,,,,,,,,,,,,,,,get high,391,339,-52,,,,,,,,
,,,,,,,,download it,382,312,-70,,,,,transform your smile,448,,,,,,,,,,,,,,,,,,,,,,,totally free,426,373,-53,,,,,,,,
,,,,,,,,my friends,309,238,-71,,,,,100% money-back,449,,,,,,,,,,,,,,,,,,,,,,,all night,294,240,-54,,,,,,,,
,,,,,,,,are here,404,330,-74,,,,,custom dentures,450,,,,,,,,,,,,,,,,,,,,,,,get high score,395,341,-54,,,,,,,,
,,,,,,,,connect,207,131,-76,,,,,microperfumes,453,,,,,,,,,,,,,,,,,,,,,,,exclusive rewards,421,365,-56,,,,,,,,
,,,,,,,,take control,329,250,-79,,,,,custom-fit dentures,458,,,,,,,,,,,,,,,,,,,,,,,for real,273,216,-57,,,,,,,,
,,,,,,,,watch for free today,357,275,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,best survival game,435,378,-57,,,,,,,,
,,,,,,,,take control of your,348,265,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,top 1,424,366,-58,,,,,,,,
,,,,,,,,make your dance go viral,225,137,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number 1,341,279,-62,,,,,,,,
,,,,,,,,all the hottest short dramas,486,398,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,top 1 saving doggy game,484,419,-65,,,,,,,,
,,,,,,,,live wallpapers,338,247,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high score,265,199,-66,,,,,,,,
,,,,,,,,learn more,496,404,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,challenge your mind,445,368,-77,,,,,,,,
,,,,,,,,hot drama update daily,161,58,-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,challenge yourself,353,275,-78,,,,,,,,
,,,,,,,,live video,473,367,-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immerse yourself,444,363,-81,,,,,,,,
,,,,,,,,transform your hair in seconds,352,241,-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited time,370,287,-83,,,,,,,,
,,,,,,,,super stress-relieving games,258,138,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,help them,263,177,-86,,,,,,,,
,,,,,,,,learn spanish,380,260,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meet your al soulmate,497,401,-96,,,,,,,,
,,,,,,,,earn cash,412,284,-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,casino slots,346,248,-98,,,,,,,,
,,,,,,,,at home,460,311,-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start earning,416,317,-99,,,,,,,,
,,,,,,,,transform your hair,474,316,-158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,find out why,482,374,-108,,,,,,,,
,,,,,,,,hair in seconds,477,317,-160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,give us,489,376,-113,,,,,,,,
,,,,,,,,25%off,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,download and find out,494,380,-114,,,,,,,,
,,,,,,,,gps tracker,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,level up,475,359,-116,,,,,,,,
,,,,,,,,get answers,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,world's most popular casual games,434,314,-120,,,,,,,,
,,,,,,,,gps tracker for your safe,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,my friend,79,,,,,,,,,,
,,,,,,,,join our,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,merge and survive,197,,,,,,,,,,
,,,,,,,,please click,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this game mocks me,230,,,,,,,,,,
,,,,,,,,meet your dream now,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,download the game,262,,,,,,,,,,
,,,,,,,,pick just the best guy,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play uno like never before,329,,,,,,,,,,
,,,,,,,,listen to,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,addicting game,338,,,,,,,,,,
,,,,,,,,discover more,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,launched today,387,,,,,,,,,,
,,,,,,,,tracker app,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,must-try,396,,,,,,,,,,
,,,,,,,,free to use,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,come join us,441,,,,,,,,,,
,,,,,,,,your child's,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"collect 10,000,000 free virtual coins",462,,,,,,,,,,
,,,,,,,,for cash,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,billion diamonds,481,,,,,,,,,,
,,,,,,,,stay updated,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,real cash rewards,483,,,,,,,,,,
,,,,,,,,create viral effects,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hit the jackpot,485,,,,,,,,,,
,,,,,,,,in cash,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,join this,486,,,,,,,,,,
,,,,,,,,streaming platform,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,check it out for yourself,487,,,,,,,,,,
,,,,,,,,high quality music creator,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,over 30,491,,,,,,,,,,
,,,,,,,,type faster on the go,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,best slots game,493,,,,,,,,,,
,,,,,,,,universal remote,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,get 2m free coins,495,,,,,,,,,,
,,,,,,,,save food,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low-poly shooter,496,,,,,,,,,,
,,,,,,,,stress-free meal planning,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ultimate low-poly shooter,498,,,,,,,,,,
,,,,,,,,it's time,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win big jackpots,499,,,,,,,,,,
,,,,,,,,get this,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,download now for free,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,download this app,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
